filename	title	artist	place	date	caption	description	permalink	image_url
gy775kt6036_63478_36_PM.jpg	Adobe Annual 1990-2	Douglas Menuez		1990-11	John Warnock, Adobe's chairman of the board and chief executive officer.		https://purl.stanford.edu/gy775kt6036	https://stacks.stanford.edu/image/iiif/gy775kt6036/63478_36_PM/full/full/0/default.jpg
gy802ry3032_9637_03_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	Japanese artist Susumu Endo.		https://purl.stanford.edu/gy802ry3032	https://stacks.stanford.edu/image/iiif/gy802ry3032/9637_03_PM/full/full/0/default.jpg
gy930sc6564_8150_20A_PM.jpg	Adobe 1992 #1	Douglas Menuez		1992	Adobe's company picnic.		https://purl.stanford.edu/gy930sc6564	https://stacks.stanford.edu/image/iiif/gy930sc6564/8150_20A_PM/full/full/0/default.jpg
gz349jk6552_8852_21A_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990-10	Steve Wozniak, Apple co-founder, in the driver's seat of a golf cart prior to his appearance at Apple's unveiling of its low-cost Macintosh computers, watches two unidentified colleagues congratulate one another.		https://purl.stanford.edu/gz349jk6552	https://stacks.stanford.edu/image/iiif/gz349jk6552/8852_21A_PM/full/full/0/default.jpg
gz704sz8017_43827_23A_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996	Kleiner Perkins Affiliated Partner William Hearst.		https://purl.stanford.edu/gz704sz8017	https://stacks.stanford.edu/image/iiif/gz704sz8017/43827_23A_PM/full/full/0/default.jpg
hb153hk0407_64286_2_PM.jpg	Newton 1993 #2	Douglas Menuez		1993-03	Newton marketing team members Nazila Alasti (left) and Michael Tchao.		https://purl.stanford.edu/hb153hk0407	https://stacks.stanford.edu/image/iiif/hb153hk0407/64286_2_PM/full/full/0/default.jpg
hb226jv9165_08987_08_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988	The office door of Adobe designer Laurie Szujewska.		https://purl.stanford.edu/hb226jv9165	https://stacks.stanford.edu/image/iiif/hb226jv9165/08987_08_PM/full/full/0/default.jpg
hc471sb8328_01_33_PM.jpg	IBM CEO 12/97	Douglas Menuez		1997-12	IBM Chairman of the Board and CEO Louis Gerstner.		https://purl.stanford.edu/hc471sb8328	https://stacks.stanford.edu/image/iiif/hc471sb8328/01_33_PM/full/full/0/default.jpg
hc585jn5360_8683_04_PM.jpg	Adobe 1990 #3	Douglas Menuez		1990	Dan Putman, Adobe's senior vice president of new product development.		https://purl.stanford.edu/hc585jn5360	https://stacks.stanford.edu/image/iiif/hc585jn5360/8683_04_PM/full/full/0/default.jpg
hd107zx1482_04160_36A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988	John Peck of Adobe's Application Products Division (seated) and Wesley Lem, Application Products Division sales.		https://purl.stanford.edu/hd107zx1482	https://stacks.stanford.edu/image/iiif/hd107zx1482/04160_36A_PM/full/full/0/default.jpg
hd453zq0799_8855_11A_PM.jpg	Apple 1990-1991 #1	Douglas Menuez		1990-10	John Sculley, Apple Chairman and CEO, in conversation with an unidentified female colleague.		https://purl.stanford.edu/hd453zq0799	https://stacks.stanford.edu/image/iiif/hd453zq0799/8855_11A_PM/full/full/0/default.jpg
hf643vn5802_11577_29_PM.jpg	Adobe 1989 Binder 1	Douglas Menuez		1989	Adobe co-founders John Warnock (left) and Chuck Geschke.		https://purl.stanford.edu/hf643vn5802	https://stacks.stanford.edu/image/iiif/hf643vn5802/11577_29_PM/full/full/0/default.jpg
hf807fr5627_08982_32A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988-12	Adobe added Kanji printer products in 1988, making PostScript the first truly international standard for computer printing.		https://purl.stanford.edu/hf807fr5627	https://stacks.stanford.edu/image/iiif/hf807fr5627/08982_32A_PM/full/full/0/default.jpg
hf918gv7971_04161_24A_PM.jpg	Adobe 1988 Binder 1	Douglas Menuez		1988	Ann Robinson, eastern regional sales manager for Adobe's Systems Products Division.		https://purl.stanford.edu/hf918gv7971	https://stacks.stanford.edu/image/iiif/hf918gv7971/04161_24A_PM/full/full/0/default.jpg
hg474js8430_64312_20A_PM.jpg	Newton 1993 #2	Douglas Menuez		1993-03	Michael Witlin, Newton event producer (left) and an unidentified colleague.		https://purl.stanford.edu/hg474js8430	https://stacks.stanford.edu/image/iiif/hg474js8430/64312_20A_PM/full/full/0/default.jpg
hg534wy5209_46563_33_PM.jpg	Kleiner Perkins 1996	Douglas Menuez		1996-09	Clinton dinner.		https://purl.stanford.edu/hg534wy5209	https://stacks.stanford.edu/image/iiif/hg534wy5209/46563_33_PM/full/full/0/default.jpg
hg609gy7483_72635_31_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	Adobe co-founder John Warnock.		https://purl.stanford.edu/hg609gy7483	https://stacks.stanford.edu/image/iiif/hg609gy7483/72635_31_PM/full/full/0/default.jpg
hg644xs0618_61_27A_PM.jpg	IBM 11/97 Burlington	Douglas Menuez		1997-11	An IBM clean room technician.		https://purl.stanford.edu/hg644xs0618	https://stacks.stanford.edu/image/iiif/hg644xs0618/61_27A_PM/full/full/0/default.jpg
hh281dk4211_73835_28A_PM.jpg	NeXT 1988	Douglas Menuez		1988	NeXT employee John Anderson's boa constrictor.		https://purl.stanford.edu/hh281dk4211	https://stacks.stanford.edu/image/iiif/hh281dk4211/73835_28A_PM/full/full/0/default.jpg
hh367tm7324_71129_21_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	The acrobats outside of Adobe's Mountain View, California, offices.		https://purl.stanford.edu/hh367tm7324	https://stacks.stanford.edu/image/iiif/hh367tm7324/71129_21_PM/full/full/0/default.jpg
hh475rg2574_72635_22_PM.jpg	Adobe 1991 #1	Douglas Menuez		1991	Adobe co-founder John Warnock.		https://purl.stanford.edu/hh475rg2574	https://stacks.stanford.edu/image/iiif/hh475rg2574/72635_22_PM/full/full/0/default.jpg
