"Druid","Title","Collection"
"bk643gn9071","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bk677xm5362","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bk782zv6819","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bk786vb6843","Farallon, 1989","Douglas Menuez photography collection, circa 1985-2008"
"bk875sd3411","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"bm054vd8456","IBM 11/97","Douglas Menuez photography collection, circa 1985-2008"
"bm057nk6208","Farallon 1989 Jan.-Nov","Douglas Menuez photography collection, circa 1985-2008"
"bm095xm7043","Adobe Annual 1990-2","Douglas Menuez photography collection, circa 1985-2008"
"bm102mz1130","Sun 1992","Douglas Menuez photography collection, circa 1985-2008"
"bm117yp5805","Apple Computer 1996","Douglas Menuez photography collection, circa 1985-2008"
"bm123hs6032","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bm147gr0090","NeXT, 1986-1987","Douglas Menuez photography collection, circa 1985-2008"
"bm149xv1570","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bm161vf7451","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bm173wn3929","Apple Blueprint 1994 #2","Douglas Menuez photography collection, circa 1985-2008"
"bm197zq2912","Apple Rocket Science","Douglas Menuez photography collection, circa 1985-2008"
"bm243zj4597","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bm323qt5423","Adobe 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bm378zg9660","Newton 1993 #2","Douglas Menuez photography collection, circa 1985-2008"
"bm442gd1186","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bm462ps0299","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bm502ht7072","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bm604jb4070","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bm628zd2931","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bm647nt0598","Adobe 1988 Binder 1","Douglas Menuez photography collection, circa 1985-2008"
"bm656df2535","Adobe 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bm712rt6667","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bm792hd7273","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bm796hr3975","Silicon Valley Selects, 1986-1997, Tech Selects 7, Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bm879mg7323","Farallon, 1990","Douglas Menuez photography collection, circa 1985-2008"
"bm886zv9229","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bm908xs6328","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bm921kk0774","Adobe, Annual #1","Douglas Menuez photography collection, circa 1985-2008"
"bn026zz4369","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bn041hc3083","Adobe 1989 Binder 1","Douglas Menuez photography collection, circa 1985-2008"
"bn121bb5572","Newton 1993 #1","Douglas Menuez photography collection, circa 1985-2008"
"bn121rv8174","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bn167fm5809","Adobe, Annual #1","Douglas Menuez photography collection, circa 1985-2008"
"bn177tr0049","IBM Fishkill","Douglas Menuez photography collection, circa 1985-2008"
"bn192tb0243","Adobe, Annual #3","Douglas Menuez photography collection, circa 1985-2008"
"bn210kq3376","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"bn214nt5882","Sun Microsystems, 1992, #2, Courtney's First Picks","Douglas Menuez photography collection, circa 1985-2008"
"bn292qs9389","NeXT 1986","Douglas Menuez photography collection, circa 1985-2008"
