"filename","permalink","caption","ignore"
"kh133ph0336","https://purl.stanford.edu/kh133ph0336","Mei Lanfang and San Francisco mayor James Rolph--group photo","2"
"kh976sz6282","https://purl.stanford.edu/kh976sz6282","Mok Huk Ming mural - Dai Yu burying flowers (painted canvas on board)","1"
"kj378hm1896","https://purl.stanford.edu/kj378hm1896","Nanqiao School military band sending off Kuo Li-hsien - group photo","1"
"km029jj9169","https://purl.stanford.edu/km029jj9169","Person in costume, standing on one foot, hand out","2"
"kq312qf1903","https://purl.stanford.edu/kq312qf1903","Young woman in heels, hand on right cheek","2"
"kq656wj8456","https://purl.stanford.edu/kq656wj8456","Standing actor as a scholar with a fan","2"
"kr274ng8713","https://purl.stanford.edu/kr274ng8713","Chinese Famine Relief Association in America in front of Chinese Six Companies - group photo","1"
"ks606wk9273","https://purl.stanford.edu/ks606wk9273","Scrapbook page--wedding party","1"
"kt074mh5374","https://purl.stanford.edu/kt074mh5374","Actress Hsiao Chuan-Chuan in everyday clothes","2"
"kw177vq6518","https://purl.stanford.edu/kw177vq6518","Costumed man and woman at alter","2"
"kx755qj7747","https://purl.stanford.edu/kx755qj7747","Scrapbook page--seated bride","1"
"kz661fc9163","https://purl.stanford.edu/kz661fc9163","Scrapbook page--group photo at dining table","1"
"mb000rw5154","https://purl.stanford.edu/mb000rw5154","Man in costume, hands on hip, holding tassel of hat","2"
"mc439ws9979","https://purl.stanford.edu/mc439ws9979","Woman with heels seated on bench","2"
"md210cv7850","https://purl.stanford.edu/md210cv7850","Young girl in costume, 2 swords","2"
"mg065kx2251","https://purl.stanford.edu/mg065kx2251","Wedding portrait beneath a photo of Sun Yat-sen","2"
"mh493zh1118","https://purl.stanford.edu/mh493zh1118","Standing actor","2"
"mj833gz8007","https://purl.stanford.edu/mj833gz8007","1 page--""The May's Studio"" advertisement from Mei Lanfang program","2"
"mk265ty9621","https://purl.stanford.edu/mk265ty9621","Actor, standing on one leg, holding object","2"
"mm803px7084","https://purl.stanford.edu/mm803px7084","Group photo in front of May's Studio and liquor store","2"
"mp031xm5455","https://purl.stanford.edu/mp031xm5455","Woman posed in front of river backdrop","2"
"mp639dh3227","https://purl.stanford.edu/mp639dh3227","Scrapbook page--Group photo--Long Kung Tin Yee Association of Oakland","1"
"mq076pr0373","https://purl.stanford.edu/mq076pr0373","Costumed man with long hair posing with hand on hip","2"
"mr092nj9227","https://purl.stanford.edu/mr092nj9227","Grant Avenue-Chinatown","2"
"mr155vv2274","https://purl.stanford.edu/mr155vv2274","Choir group photo","1"
"ms484vt8020","https://purl.stanford.edu/ms484vt8020","Chan Siew Chuen as a warrior standing in front of mountain backdrop","2"
"mw325ct8021","https://purl.stanford.edu/mw325ct8021","Men in kitchen","1"
"mw416yv5111","https://purl.stanford.edu/mw416yv5111","Lady standing beside tree","2"
"mw723tn7916","https://purl.stanford.edu/mw723tn7916","Car with banners and portraits on exterior","1"
"mx077nq1725","https://purl.stanford.edu/mx077nq1725","Portrait of an actress with a parasol (hand-colored photographic print)","1"
"my558yd4725","https://purl.stanford.edu/my558yd4725","Isabelle May Lee and other ladies--colored","2"
"nb826bq4589","https://purl.stanford.edu/nb826bq4589","Woman in costume, fengguan. pagoda background","2"
"nc305ds4317","https://purl.stanford.edu/nc305ds4317","Actress Cheet Sing Mui as a warrior","2"
"nc311pt9004","https://purl.stanford.edu/nc311pt9004","Man leaning forward holding fan in front of pagoda","2"
"nc903rp1296","https://purl.stanford.edu/nc903rp1296","Stage scene-Clock and man on brick wall","2"
"nd338tw6318","https://purl.stanford.edu/nd338tw6318","Stage scene with elephant","2"
"nf460tt6635","https://purl.stanford.edu/nf460tt6635","General Cai Tingkai welcome-group portrait","2"
"nf756bd0874","https://purl.stanford.edu/nf756bd0874","Costumed actor, wearing earmuffs, standing in front of gazebo","2"
"ng003nk3181","https://purl.stanford.edu/ng003nk3181","Standing actress, hands held close to body","2"
"ng619kb8476","https://purl.stanford.edu/ng619kb8476","Actor, in costume, left hand up, holding object","2"
"nh669tm0905","https://purl.stanford.edu/nh669tm0905","Woman with headdress and object held in both hands","2"
"nq422wv3816","https://purl.stanford.edu/nq422wv3816","Young girl, long hair, elbow propped on column, pagoda backgound","2"
"nr858bz2083","https://purl.stanford.edu/nr858bz2083","Stage scene-fairy goddess on phoenix and flute player astride a lion","2"
"ns343dx7903","https://purl.stanford.edu/ns343dx7903","Young woman, looking down with hand on cheek","2"
"nv217wj7473","https://purl.stanford.edu/nv217wj7473","Group shot- Men at party with cash on table","1"
"nx596gm5740","https://purl.stanford.edu/nx596gm5740","Stage scene--2 women hide while 2 men look out","2"
"nx779fs4485","https://purl.stanford.edu/nx779fs4485","Dr. Margaret Chung at a desk","2"
"ny055pp6048","https://purl.stanford.edu/ny055pp6048","KMT Meeting- group shot of men & one woman","1"
"nz990yx3434","https://purl.stanford.edu/nz990yx3434","Woman standing-black dress","2"
"pc113mn3019","https://purl.stanford.edu/pc113mn3019","Standing actor on bridge with backdrop","2"
"pc826dd1806","https://purl.stanford.edu/pc826dd1806","Stage scene with lion and tiger","2"
"pd480gb0537","https://purl.stanford.edu/pd480gb0537","stage scene--revolutionaries including Huang Xing, Lin Shishuang, and Lin Jueming confront Zhang Mingqi","2"
"pg101vn9312","https://purl.stanford.edu/pg101vn9312","Standing male actor-bare head","2"
"pg589ns4501","https://purl.stanford.edu/pg589ns4501","Woman standing in front of brick wall backdrop","2"
"ph212yv3705","https://purl.stanford.edu/ph212yv3705","Stage scene - lady in black","2"
"ph955ms8470","https://purl.stanford.edu/ph955ms8470","Woman, large headpiece in front of lotus scene","2"
"pj232pq7513","https://purl.stanford.edu/pj232pq7513","Theatre scene - actor in center on dragon","2"
"pj342wt5450","https://purl.stanford.edu/pj342wt5450","Marching band and funeral parade","2"
"pm611dg5687","https://purl.stanford.edu/pm611dg5687","Mok Huk Ming mural - crane (painted canvas on board)","1"
"pn472mx0818","https://purl.stanford.edu/pn472mx0818","Scrapbook page-Group photo in front of KMT main office in observance of Sun Yat Sen entombment services","2"
"pp876zj7769","https://purl.stanford.edu/pp876zj7769","Stage scene","2"
"pq137fc1431","https://purl.stanford.edu/pq137fc1431","Person in front of gazebo","2"
"ps287sp8797","https://purl.stanford.edu/ps287sp8797","Standing actor with one arm held out to the side and one hand on hip","2"
"pt763pr5202","https://purl.stanford.edu/pt763pr5202","Woman in costume, trellis background","2"
"pw808bg3553","https://purl.stanford.edu/pw808bg3553","Young woman, hand on hip, right hand up, black background","2"
"px322xb6601","https://purl.stanford.edu/px322xb6601","Composite family portrait","2"
"pz491kw6350","https://purl.stanford.edu/pz491kw6350","Actor, posing with in lunge,  left hand out in front of him","2"
"qd095gp6882","https://purl.stanford.edu/qd095gp6882","Storefront-China Emporium","2"
"qd246sw8982","https://purl.stanford.edu/qd246sw8982","Woman in costume, leg kick, with sword","2"
"qf821jb5046","https://purl.stanford.edu/qf821jb5046","Actor standing-left foot in front","2"
"qg137ym3746","https://purl.stanford.edu/qg137ym3746","Stage scene  - Woman warrior approaches another woman in a winter scene","2"
"qg392vv1896","https://purl.stanford.edu/qg392vv1896","Actor Kwan Tak Hing in Zorro copy print","1"
"qh144rh0551","https://purl.stanford.edu/qh144rh0551","4 actors on stage - Backdrop by Hsu Feng-bo","2"
"qj454sw5887","https://purl.stanford.edu/qj454sw5887","Costumed man, pheasant feathered head piece","2"
"qj807jy8908","https://purl.stanford.edu/qj807jy8908","General Cai Tingkai welcome--panorama","2"
"qm181fn5335","https://purl.stanford.edu/qm181fn5335","Standing actor-warrior","2"
"qm616hg9859","https://purl.stanford.edu/qm616hg9859","Two high officials and two women meet outside a cell containing two prisoners","2"
"qs909nf6888","https://purl.stanford.edu/qs909nf6888","Dentist office of Chester Chan Lee","1"
"qt813cw4427","https://purl.stanford.edu/qt813cw4427","Man, wearing headpiece, pointing toward camera","2"
"qv986fv1248","https://purl.stanford.edu/qv986fv1248","Man, large headpiece, holding fan, pagoda background","2"
"qw528mr8476","https://purl.stanford.edu/qw528mr8476","Woman, standing with black fan","2"
"qx138zd5556","https://purl.stanford.edu/qx138zd5556","Mok Huk Ming mural - scene from Youlong Xifeng--Emperor Wuzong and Li Feng (painted canvas on board)","1"
"qz592px0084","https://purl.stanford.edu/qz592px0084","Standing actor as high court official","2"
"rc284qv5976","https://purl.stanford.edu/rc284qv5976","Woman standing with folded fan in hands","2"
